Step	Loss	Loss per Cell	 Change 
1	148220952576.0	19474570.04020497	19474570.04020497
2	140468535296.0	18455989.39639995	1018580.6438050196
3	135341031424.0	17782292.92129812	673696.4751018286
4	131253592064.0	17245249.2529234	537043.668374721
5	127790317568.0	16790213.844172906	455035.4087504931
6	124685852672.0	16382321.990802785	407891.85337012075
7	121829687296.0	16007053.908290632	375268.0825121533
8	119191068672.0	15660369.02798581	346684.8803048227
9	116789305344.0	15344804.275916437	315564.7520693727
10	114533171200.0	15048373.564577585	296430.7113388516
11	112367525888.0	14763832.070424385	284541.4941531997
12	110306476032.0	14493033.245565629	270798.82485875674
13	108319211520.0	14231928.98699251	261104.2585731186
14	106426621952.0	13983263.95375115	248665.03324135952
15	104582447104.0	13740960.071475497	242303.882275654
16	102811328512.0	13508254.961503088	232705.10997240804
17	101089042432.0	13281965.89567731	226289.065825779
18	99385671680.0	13058162.091709368	223803.80396794155
19	97725677568.0	12840057.491525425	218104.6001839433
20	96141721600.0	12631943.450269347	208114.0412560776
21	94603935744.0	12429895.64367363	202047.80659571663
22	93065625600.0	12227778.951517541	202116.69215608947
23	91556241408.0	12029462.804887662	198316.14662987925
24	90078183424.0	11835262.57049008	194200.23439758085
25	88617271296.0	11643315.109184075	191947.46130600572
26	87217831936.0	11459444.479831822	183870.62935225293
27	85845303296.0	11279109.617133098	180334.8626987245
28	84479950848.0	11099717.62554198	179391.99159111828
29	83189284864.0	10930138.597293392	169579.02824858762
30	81896538112.0	10760286.179477073	169852.41781631857
31	80613548032.0	10591715.678885823	168570.50059125014
32	79376285696.0	10429153.290763369	162562.3881224543
33	78170832896.0	10270770.318749178	158382.97201419063
34	76986163200.0	10115118.013401655	155652.30534752272
35	75796799488.0	9958848.967021417	156269.0463802386
36	74640474112.0	9806920.787281565	151928.1797398515
37	73510748160.0	9658487.473393772	148433.31388779357
38	72369979392.0	9508603.257390618	149884.21600315347
39	71304437760.0	9368603.04296413	140000.21442648768
40	70251372544.0	9230242.089607147	138360.95335698314
41	69221146624.0	9094881.96347392	135360.12613322772
42	68194156544.0	8959946.99040862	134934.9730652999
43	67173990400.0	8825908.60596505	134038.38444356993
44	66193149952.0	8697037.176717909	128871.42924714088
45	65208107008.0	8567613.5866509	129423.59006700851
46	64253915136.0	8442243.481277099	125370.10537380166
47	63289368576.0	8315512.886085928	126730.59519117046
48	62363435008.0	8193855.6047825515	121657.28130337689
49	61458747392.0	8074989.803179609	118865.80160294287
50	60570116096.0	7958233.621863093	116756.18131651543
