Step	Loss	Loss per Cell	 Change 
1	3281122816.0	432751.62437351624	432751.62437351624
2	3205736448.0	422808.816671063	9942.807702453225
3	3152642304.0	415806.15985228174	7002.656818781281
4	3109042176.0	410055.68135056715	5750.478501714591
5	3070940416.0	405030.3898707465	5025.291479820618
6	3036488192.0	400486.440517014	4543.949353732518
7	3004690176.0	396292.5581640728	4193.882352941204
8	2974921472.0	392366.324452651	3926.2337114217808
1	2891597824.0	395459.22100656456	395459.22100656456
9	2946762496.0	388652.39989448694	3713.924558164086
1	3239944192.0	425301.1541086899	425301.1541086899
2	2826774016.0	386593.8205689278	8865.400437636767
10	2919909888.0	385110.7739382749	3541.625956212054
2	3166513920.0	415662.10553951166	9639.048569178267
3	2781159936.0	380355.57111597375	6238.249452954042
11	2894143744.0	381712.44315484044	3398.330783434445
4	2743760640.0	375240.78774617065	5114.783369803103
3	3114736384.0	408865.3693882909	6796.736151220743
12	2869290496.0	378434.5154312846	3277.9277235558257
5	2711118592.0	370776.61269146606	4464.175054704596
4	3072231168.0	403285.79259648203	5579.576791808882
13	2845224704.0	375260.4463202321	3174.069111052493
6	2681629696.0	366743.6673960613	4032.9452954047592
5	3035107328.0	398412.61853504856	4873.17406143347
14	2821844480.0	372176.79767871276	3083.648641519365
7	2654428416.0	363023.57986870897	3720.087527352327
6	3001567488.0	394009.90916250984	4402.709372538724
15	2799060480.0	369171.7858084938	3005.0118702189648
8	2628972544.0	359542.1969365427	3481.382932166278
16	2776805376.0	366236.53073067794	2935.2550778158475
7	2970617088.0	389947.11052769754	4062.798634812294
9	2604900608.0	356250.08315098466	3292.113785558031
8	2941635584.0	386142.76503019163	3804.345497505914
17	2755026688.0	363364.1107887101	2872.419941967819
10	2581942784.0	353110.33698030637	3139.7461706782924
18	2733678848.0	360548.5159588499	2815.5948298602016
9	2914216960.0	382543.5757416645	3599.1892885271227
11	2559918848.0	350098.31072210066	3012.026258205704
19	2712711424.0	357783.09469796886	2765.421260881063
10	2888069376.0	379111.2333945918	3432.3423470727284
1	3574288640.0	190842.471034225	190842.471034225
12	2538679040.0	347193.52297592995	2904.7877461707103
20	2692079616.0	355061.9382748615	2721.1564231073717
11	2862976000.0	375817.27487529535	3293.9585192964296
13	2518115584.0	344381.2341356674	2812.2888402625686
21	2671754240.0	352381.1975731997	2680.7407016617944
12	2838768896.0	372639.65555263846	3177.6193226568867
14	2498142464.0	341649.6805251641	2731.553610503266
22	2651712512.0	349737.8675811132	2643.32999208651
13	2815324160.0	369562.11079023365	3077.54476240481
2	3494204160.0	186566.50969085377	4275.961343371222
15	2478695168.0	338990.0393873085	2659.641137855593
23	2631937792.0	347129.7536270113	2608.113954101864
14	2792529920.0	366569.95536886324	2992.1554213704076
16	2459721472.0	336395.16849015316	2594.8708971553715
24	2612423680.0	344556.0116064363	2573.7420205750386
15	2770305536.0	363652.60383302707	2917.3515358361765
17	2441167360.0	333857.6805251641	2537.4879649890354
25	2593168128.0	342016.3714059615	2539.640200474765
3	3437730304.0	183551.19355010946	3015.3161407443113
16	2748596992.0	360802.96560777107	2849.6382252559997
26	2574165760.0	339510.1239778423	2506.247428119241
18	2422991360.0	331371.90371991246	2485.776805251662
17	2727350784.0	358014.0173273825	2788.9482803885476
19	2405156352.0	328932.761487965	2439.1422319474514
27	2555407616.0	337036.0875758375	2474.036402004771
4	3391365376.0	181075.62475305676	2475.5687970526924
18	2706527744.0	355280.6174849042	2733.399842478335
20	2387631616.0	326536.05251641135	2396.7089715536567
28	2536875264.0	334591.8311791084	2444.2563967290916
19	2686088192.0	352597.55736413755	2683.060120766633
21	2370398208.0	324179.18599562364	2356.8665207877057
29	2518560000.0	332176.20680559217	2415.6243735162425
5	3350848768.0	178912.31608735118	2163.308665705583
30	2500442624.0	329786.6821419151	2389.52466367709
20	2666003712.0	349961.1068521922	2636.4505119453534
22	2353432832.0	321858.9759299781	2320.210065645515
31	2482507008.0	327421.13004484307	2365.55209707201
21	2646240768.0	347366.86374376476	2594.243108427443
23	2336713216.0	319572.3763676149	2286.5995623632334
6	3314235136.0	176957.39954081905	1954.9165465321275
32	2464747008.0	325078.74017409654	2342.389870746527
24	2320221952.0	317317.00656455144	2255.369803063455
22	2626775808.0	344811.7364137569	2555.1273300078465
33	2447150592.0	322757.92561329465	2320.8145608018967
25	2303943680.0	315090.7658643326	2226.2407002188265
23	2607588864.0	342293.103701759	2518.632711997896
34	2429720064.0	320458.9902400422	2298.9353732524323
26	2287869184.0	312892.3938730853	2198.371991247288
24	2588654848.0	339807.6723549488	2485.43134681019
7	3280434944.0	175152.70137220353	1804.6981686155195
35	2412445184.0	318180.58348720655	2278.406752835668
27	2271989504.0	310720.66520787746	2171.728665207862
25	2569959168.0	337353.52690995013	2454.1454449986923
36	2395323648.0	315922.4014771828	2258.1820100237383
28	2256300032.0	308574.9496717724	2145.715536105039
26	2551488256.0	334928.8863218693	2424.6405880808597
8	3248774656.0	173462.25938384325	1690.4419883602823
37	2378347264.0	313683.36375626485	2239.037720917957
29	2240786432.0	306453.2866520788	2121.663019693631
27	2533225728.0	332531.59989498556	2397.2864268837147
38	2361517568.0	311463.67290952255	2219.6908467423054
30	2225444608.0	304355.1159737418	2098.170678336988
28	2515162880.0	330160.52507219743	2371.0748227881268
39	2344821248.0	309261.57319968345	2202.0997098390944
9	3218797312.0	171861.67504938864	1600.5843344546156
31	2210260992.0	302278.5820568928	2076.5339168490027
29	2497295360.0	327815.09057495405	2345.4344972433755
40	2328260864.0	307077.40226853074	2184.1709311527084
32	2195225088.0	300222.24945295404	2056.332603938761
30	2479615232.0	325494.25466001575	2320.835914938303
41	2311836160.0	304911.126351886	2166.2759166447213
33	2180332544.0	298185.52297592995	2036.7264770240872
10	3190174464.0	170333.411500881	1528.2635485076462
31	2462117376.0	323197.3452349698	2296.9094250459457
42	2295547392.0	302762.77921392774	2148.347137958277
34	2165574912.0	296167.24726477027	2018.2757111596875
43	2279397120.0	300632.6984964389	2130.0807174888323
32	2444797696.0	320923.82462588605	2273.52060908376
35	2150951424.0	294167.3172866521	1999.9299781181617
44	2263382784.0	298520.5465576365	2112.151938802388
33	2427647488.0	318672.5502756629	2251.2743502231315
11	3162673152.0	168865.03027390677	1468.3812269742193
36	2136465024.0	292186.13566739607	1981.1816192560364
45	2247502080.0	296426.0195199156	2094.5270377209526
34	2410670080.0	316443.9590443686	2228.5912312943256
37	2122114560.0	290223.54485776805	1962.5908096280182
46	2231754240.0	294349.0160907412	2077.003429174365
35	2393864448.0	314237.9165135206	2206.0425308480044
38	2107903488.0	288280.01750547043	1943.5273522976204
47	2216135424.0	292289.02980743867	2059.98628330254
12	3136127232.0	167447.66041967002	1417.3698542367492
36	2377222656.0	312053.3809398792	2184.535573641362
39	2093831040.0	286355.4485776805	1924.5689277899219
48	2200643072.0	290245.7230282247	2043.3067792139482
40	2079890432.0	284448.9102844639	1906.5382932166103
37	2360737280.0	309889.37778944604	2164.0031504331855
49	2185275392.0	288218.8594038512	2026.863624373509
13	3110417152.0	166074.91868225747	1372.7417374125507
41	2066076800.0	282559.73741794314	1889.172866520763
38	2344397568.0	307744.4956681544	2144.882121291652
50	2170035456.0	286208.84410445794	2010.0152993932716
39	2328200960.0	305618.39852979785	2126.097138356534
42	2052384128.0	280687.1072210066	1872.630196936545
51	2154919680.0	284215.2044315484	1993.639672909514
43	2038807552.0	278830.3544857768	1856.7527352297911
40	2312140288.0	303510.1454449987	2108.2530847991584
14	3085447936.0	164741.7339954082	1333.184686849272
52	2139928704.0	282238.02479556843	1977.1796359799919
44	2025338880.0	276988.3588621444	1841.9956236323924
41	2296215552.0	301419.7364137569	2090.409031241783
